,Review,Review By,Review Date
14,"The power devilThe perfect size car with the best class infotainment system and interiors. The tyres and the rims are eye-catchy and the front lights are alluring. The best car in its segment with appearance and power, with huge space, the car packs a good load and is great for trips and adventures. The company will get a huge advantage in the Indian market.Read More",By vishesh yadav,"On: Nov 29, 2019  | 161 Views"
15,Amazing machine.Can't comment over the engine quality because British cars are amazing in quality check. Build quality and features are also good.,By akhilesh akshay,"On: Nov 29, 2019  | 46 Views"
16,"My favorite carExcellent car in the world so far. It is best for long tours. Also, the logo of the car is impressive.",By sushil malik,"On: Nov 28, 2019  | 40 Views"
17,"Mind blowing car.Nice features at less cost, It's helpful for everyone and it's featured as same as Jeep Compass.",By umesh hari mahalpure,"On: Nov 28, 2019  | 35 Views"
18,This car is amazing.Smooth drive and fantastic looks. Everything is amazing here in this car.,By raj pandit,"On: Nov 28, 2019  | 41 Views"
19,"Dream Car - MG HectorSuch a high rated and luxurious class segment car. It has great looks and great features. Fully automatic loaded features. High ground clearance, big boot space, electronically  adjustable seats and sensors I mostly like features in this car. Voice control feature giving amazing feel driving this car.Read More",By rohit kshatriya,"On: Nov 28, 2019  | 117 Views"
20,"Best And BrilliantBest and brilliant car by MG. If we compare the cars in Hector's price range Jeep compass is overprized, no premium features, and no comfort. Tata Harrier is fair and the interior is worst. The segment king Hyundai Creta is just like I20 wearing heels it is not a car Worth buying. I waited for mg was confused in hector and Creta but Hector was just...Read More",By gurmeet balyan,"On: Nov 27, 2019  | 262 Views"
21,"This British SUV listens to you and talks backGot a chance to drive this car. I didn't expect that the petrol hybrid engine gives this type of power. This engine is really awesome. The 1.5 ltr hybrid engine gives a lot of power in the mid-range up-to 2000 rpm some amount of lag is there but it pulls up pretty quick. The safety features of this car are very good, 6 airbags, Abs, EBD, TC, Hill h...Read More",By anonymous,"On: Nov 27, 2019  | 106 Views"
22,Great car.It was an amazing experience. I am very proud to own this car.,By yadagiri shaganti,"On: Nov 28, 2019  | 30 Views"
23,"Best car in the segment.MG HECTOR is one of the best and fully loaded SUV, which was provided at a lower cost in all variants. Ride quality and looks are also good. Comfortable seats, panoramic sunroof and AC performance are fabulous. Value for money.Read More",By sarthak jariwala,"On: Nov 28, 2019  | 55 Views"
24,"Dream car.Best in the class segment! Highest cabin space in this segment with the best interior and exterior. If you are an SUV lover, then go for it.",By anonymous,"On: Nov 27, 2019  | 37 Views"
25,"MG Hector - The best carIt is the best car in India and in low price, we get a luxury car. We feel better inside the car and it goes smooth on the road. The interior design is too better than other cars and the interesting thing is the sunroof as is not single, it is double sunroof.Read More",By max vijay,"On: Nov 25, 2019  | 816 Views"
26,Good carThis car's voice command system is really good and it's look is also good so I would give it a five-star rating.,By ishtiaque ahmed,"On: Nov 26, 2019  | 34 Views"
27,"Wonderful CarIt is a nice car, it has a very good system, the interior design of the car is very good and comfortable, the speakers of this car are very good.",By alex joseph ,"On: Nov 26, 2019  | 38 Views"
28,Greatest carThe best car at this budget including all the features and especially the Internet inside concept. This car includes a very nice experience.,By narendra kr. sethi,"On: Nov 25, 2019  | 36 Views"
29,Best SUVThis is the best car under 20 lacs with lots of features and it is better than other cars and the best car.,By sb sudip,"On: Nov 25, 2019  | 37 Views"
0,"The car of DreamsPeople say that the electronics won't work out in India but MG has proved almost everyone wrong. Speaking of the electronics, the car is fully loaded with advanced technology and none of them feels like it's overdone. My second point is the milage, hector is an SUV but still offers great mileage of around 16km/l. The dimensions of the car are humun...Read More",By hardik,"On: Nov 23, 2019  | 4595 Views"
