,Review,Review By,Review Date
29,Good carI will only say some words because there is nothing to say about the car. It's awesome we brought the car at 2018 July. It has six gear also 17tn 17+ average there service is also good the people are awesome. I will tell you that we were going to buy the Baleno.Read More,By kunal pawale,"On: Mar 26, 2019  | 64 Views"
0,"Compass - A Good CarA good car with awesome pickup and performance, no need of speaking about comfort its awesome, all the time lovely to drive on highways and able to drive miles together without stress. I prefer automatic transmission in this vehicle because the manual clutch has some flaws and does not suit Indian road conditions apart of clutch every aspect is goo...Read More",By user,"On: Mar 25, 2019  | 60 Views"
1,"Compass the Complete Compact SUV CarSatisfied with all the variants. Driving comfort, Fuel economy, so much compact. Great Car.",By bhadresh,"On: Mar 24, 2019  | 44 Views"
2,Roar Of The LionAmazing car with cool features and excellent look. The hydro blue color is a mind-blowing car.,By sunita kanwar,"On: Mar 24, 2019  | 51 Views"
3,"Jeep is My Next Kid.Value for money, looks awesome. Everything is designed keeping in mind all the aspects of the car. A must-have vehicle. Planning to buy soon.",By dheeraj kumar ,"On: Mar 24, 2019  | 42 Views"
4,Compass Feel It.Best in class horsepower with great mileage. Head-turning exteriors with eye-catching iron man inspired headlamps.,By shantanu singh,"On: Mar 21, 2019  | 141 Views"
5,Best Car Ever.This is the most excellent car ever in which I have traveled. The pickup is amazing. We drive our car on 180 which was really fast speed.,By rishabh jain,"On: Mar 20, 2019  | 96 Views"
6,Jeep Compass is The Best SUV.Jeep compass has superb comfort with high stability and fine control even at higher speed.,By sam mishra ,"On: Mar 18, 2019  | 102 Views"
7,"King of the roadFantastic design, drives smoothly, amazing features, and also getting best engine sound.",By anonymous,"On: Mar 15, 2019  | 142 Views"
8,The Ultimate Off-Roading MachineJeep Compass is undoubtedly the synonym of off-roading. Its strong built has no match. Indeed an ultimate machine.,By vikram,"On: Mar 12, 2019  | 97 Views"
9,Go for Jeep CompassJeep Compass has superb comfort with high stability and fine control even at top speed. ,By tanuj vohra,"On: Mar 11, 2019  | 67 Views"
10,If you never drive you never know the beauty.Such a brilliant diesel engine with adequate bhp takes you to the maximum speed experience with good road grip and great ambiance. Lovely machine. Thoroughly enjoyed driving the motor.Read More,By sivakumar natesan ,"On: Mar 10, 2019  | 63 Views"
11,"Superb carUltimate driving experience, a lot of power yet smooth handling, so much control and confidence anyone can feel while driving in all driving conditions, whether it is bumper to bumper traffic at low speeds, or highway drive even on 150+ speed or off roads or bad roads. In each condition, the driving experience is full of fun.Read More",By dr lalit goyal,"On: Mar 08, 2019  | 142 Views"
12,Awesome Jeep CompassI have purchased my Jeep Compass in May 2018 and since then there is no turning back. The ride experience has been awesome.,By k abhishek ,"On: Mar 07, 2019  | 145 Views"
13,Jeep Compass Limited plusBought this beast 3 months back. Performance in highways as well as off road is great. So much of power with great mileage and awesome built quality is amazing. You need to drive the compass to know it. Very much satisfied after getting my hands on it.Read More,By arshad ahmed ,"On: Mar 06, 2019  | 99 Views"
14,Brilliant and Worthy CarJeep Compass is a brilliant car as it worth its price. It has such a solid body accompanied with elegant looks. It is a gem for an off-roader but as a coin has two faces the other face is that the Jeep brand lacks in service. Read More,By jaskirat singh,"On: Mar 06, 2019  | 106 Views"
15,"JEEP feels WoWJeep Compass is an amazing SUV, the experience in hilly terrain area was great. I'm satisfied with the budget and I'm waiting for new trail hawk to purchase. This is an amazing off-roader also.Read More",By rs kashwal,"On: Mar 05, 2019  | 78 Views"
16,"Unbelievable JeepThe all-new Jeep Compass is hope for the SUV lovers. The engine of the car is very superb and the petroleum tank is also very big, it is the best car.",By divyanshu ,"On: Mar 04, 2019  | 78 Views"
17,"Jeep CompassJeep Compass is the best car I have driven so far, excellent performance is also a great point.",By mohamed asif,"On: Mar 03, 2019  | 54 Views"
18,Jeep CompassPros-Build Quality like a military tank-Driving Experience-Interior Ambience-Road Presence-Jeep Branding Coming to neutral-touch screen response-Design of alloy wheels.Cons-Front flop below the bumper tends to touch as it very low to the ground you can remove it- The absence of automatic transmission in dieselRead More,By s.jagadish varma,"On: Mar 02, 2019  | 146 Views"
19,"JEEP COMPASSJeep Compass is a whole new concept...a beauty and also a beast with best in class speed, comfort, and engine. The best thing in the car is the noise cancellation inside the car and it's very smooth and also the best for off-roading. If you are looking for a car in a budget with best features, then you may buy this beast.Read More",By shivansh arora,"On: Mar 01, 2019  | 133 Views"
20,Jeep CompassJeep Compass is a great car and great looking. Everything is good in the Jeep Compass.,By sagar shinde,"On: Feb 26, 2019  | 95 Views"
21,"Jeep CompassJeep Compass is a very nice car, it is very smooth to drive. ",By akshay chauhan ,"On: Feb 24, 2019  | 53 Views"
22,Jeep CompassJeep Compass is the best features in 5 seater car in this segment. Nice and sporty look. It feels luxurious. The car is very comfortable and powerful.,By aadil khan,"On: Feb 24, 2019  | 54 Views"
23,"About Jeep CompassI have just taken this car on January 20, 2019, .and it is working very well. I have given 4stars because very less feature compares to Toyota Fortuner.",By satvinder singh,"On: Feb 24, 2019  | 158 Views"
24,Jeep CompassJeep Compass is smooth in running. It has a refined engine and its a perfect highway car.,By yogesh vyas,"On: Feb 23, 2019  | 142 Views"
25,"Jeep CompassJeep Compass is a superb car with extreme performance. 4x4 is perfect for this car, it is the best car in the medium range.",By jitesh,"On: Feb 23, 2019  | 64 Views"
26,"Jeep CompassJeep Compass is a superb car, I'm using it for the last 8 months. It has massive power with all-wheel drive.",By anubhav mishra,"On: Feb 22, 2019  | 60 Views"
27,What a engine?This car has offered mind-boggling features. The interiors are premium. The offers have great competition for Creta and Harrier. After 2000 rpm this runs like a bullet.,By aditya bansal,"On: Feb 21, 2019  | 71 Views"
28,Jeep CompassJeep Compass is a very nice car. A car with good mileage and having that much of power of 173 bhp and even less noise inside the car.,By chaitanya vr,"On: Feb 23, 2019  | 68 Views"
29,"Jeep CompassIt's a good car, I would not say its perfect but ya good, not a value for money product. Its limited plus variant is too costly, but the power of the engine is superb, The interior is luxurious and it does have some road presence.Read More",By shreyansh,"On: Feb 22, 2019  | 105 Views"
0,"Jeep CompassThe main highlight of Jeep Compass is its 170 BHP engine, which gives a decent mileage of not less than 14kmpl in urban conditions. DThe driving position is good and the seats are very good but the drawback is that the company should offer at least rear sensors for the above 20 lakhs vehicle moreover they are not offering floor mats. First service ...Read More",By rameese muhammed,"On: Feb 20, 2019  | 82 Views"
1,Jeep CompassJeep Compass is a nice car. It has a great model and good performance.,By mahfooj ali,"On: Feb 20, 2019  | 50 Views"
2,"Jeep CompassDriving a Jeep Compass is an addiction, such power and flawless drive makes it an absolute delight. Additionally, its tank-like build quality and safety makes it live up to the Jeep brand.Read More",By raghav mundra,"On: Feb 20, 2019  | 49 Views"
3,"Jeep CompassJeep Compass is real love. It has the thrill to drive with comfort, smooth gear shift and best pickup. ",By ravi chaudhari,"On: Feb 20, 2019  | 41 Views"
4,"Jeep CompassI bought a Jeep Compass Limited Plus last week. Oh God, what an SUV it is. A perfect blend of killing looks and beasty power. It is so comfortable to drive and made for enthusiast drivers. I'm loving it.Read More",By vivek,"On: Feb 19, 2019  | 178 Views"
5,"Jeep CompassJeep Compass has a nice exterior design, this compact SUV is an attractive one in its segment. ",By saleek salee,"On: Feb 17, 2019  | 85 Views"
6,Fantastic carFantastic SUV to drive long and rough surfaces. Loved the design and performance.,By nisham,"On: Feb 17, 2019  | 79 Views"
7,JEEP COMPASSJeep Compass is a very good SUV but the problem is that the rear seats are uncomfortable.,By ram sharma,"On: Feb 15, 2019  | 213 Views"
8,"Jeep compass has excellent mileage I got Jeep Compass, it is really outstanding the mileage is just 20.5 km/l only at 90km. It has super control at 140, overall I love Jeep till now I had the best experience but the service centres are not up to the mark. Jeep have to work more on this but no complaint on Jeep Compass SUVRead More",By manpreet singh ,"On: Feb 14, 2019  | 168 Views"
9,Jeep Compass is the best SUVJeep Compass has a stylish body and upscale SUV with real long lasting rough and tough quality. It comes with high safety standards and true SUV for off-road.,By priyam,"On: Feb 14, 2019  | 72 Views"
10,"Best Driver's SUV in the BracketIn a country obsessed with features, we often forget how a car isn't just a tool to get you from one point to another. It's how you get there. This car does everything and once you find a good stretch of road, you'll know why.Read More",By chris,"On: Feb 02, 2019  | 106 Views"
11,"Jeep CompassJeep Compass is a bad car, it is not perfect for Indian road and the maintenance cost is very high.",By kamaljeet,"On: Feb 13, 2019  | 117 Views"
12,"Jeep CompassJeep Compass is a bad car, it is not perfect for Indian road and the maintenance cost is very high.",By kamaljeet,"On: Feb 13, 2019  | 58 Views"
13,"The best in its segment!This is easily the best car in its segment with that 170 horsepower, 2.0L diesel engine producing 350Nm of peak torque. This is one of the best driver's car.",By parikshith d,"On: Feb 12, 2019  | 83 Views"
14,Jeep Compass is the bestJeep Compass is the best SUV in Segment it's just phenomenal in price.,By achieve raghuwanshi,"On: Feb 11, 2019  | 78 Views"
15,"Jeep CompassJeep Compass really a nice car and its interior are awesome. It's leather seats are really good, it's designed airbags all are very amazing. I wish Jeep keeps on making such awesome cars.Read More",By nishant,"On: Feb 10, 2019  | 54 Views"
16,Love Jeep CompassJeep Compass is just amazing where all the features are good enough for the common man.,By vikas singla,"On: Feb 08, 2019  | 138 Views"
17,"It is a beastI have Jeep compass 2017 which can drive perfectly on any type of road, such as plane road, sand road, mountain and also in a desert. I just love it.",By sarthak bansal,"On: Feb 07, 2019  | 83 Views"
18,"Shaft ProblemI purchased the Jeep Compass Diesel Limited Option model in 2017, I choose to purchase the Jeep for its Safety Features and so I bought the Top-End model, All was going well until Dec 2018 but one night of Dec 2018, I met with an accident. I was driving Jeep Compass with my friend at a speed of about 80 to 100 km/hr on this freeway suddenly my righ...Read More",By nayan bhagat,"On: Feb 03, 2019  | 561 Views"
19,Phenomenal car..!!Most satisfying car. Under this money bracket. Proud to be an owner of JEEP COMPASS LIMITED PLUS..!! &#x1f60e;,By arpit singh,"On: Feb 01, 2019  | 109 Views"
20,The stylish jeep compass royal compassThis car is so beautiful and wonderful the interior is amazing and the exterior is also nice and this is the best SUV forever and good looking car and it is important car and royal car it is my dream car The Jeep Compass very nice car and stylish also and the front design also very good and the sunroof is amazing really I appreciate this car from b...Read More,By rizwan baligar ,"On: Jan 29, 2019  | 108 Views"
21,Branded car better to say its a golden starThe most attractive point is designed like a luxurious model series like Benz and affordable price range love this car to buy even middle and rich class people's. The car is insanely awesome SUV.Read More,By aribaskar ,"On: Jan 26, 2019  | 50 Views"
22,About the carThis car is a very accurate car range. I think this is the evolution in cars. The car is a feature loaded masterpiece by JEEP.,By sumit vasisth,"On: Feb 01, 2019  | 66 Views"
23,"Be Cautious while you Buy JEEP !!I have bought JEEP Longitude (O) with paid Mopar Maintenance Package by August from an authorised showroom in Coimbatore. Poor Sales Team, no knowledge on the Car itself (lol) next is about Variants. Cheating on Money. I didn't get the Invoice for the Value that I have paid. Insurance amount has been doubled than the actual Insurance JEEP has provi...Read More",By arunprasath,"On: Jan 28, 2019  | 153 Views"
24,"Best Suv of indiaAwesome car at a good price. It is a good looking, affordable car. It is the best SUV with awesome features.",By sumit,"On: Jan 26, 2019  | 42 Views"
25,The king of the roadWe bought our car on the 22 November 2018. We got the limited plus 4*4 variant. Exactly 1 month later we went on a road trip from Kolkata to Rajasthan and the car performed brilliantly. There were some parts where no other car could go but it went flawlessly without a problem.Read More,By yash raj jain ,"On: Jan 24, 2019  | 364 Views"
26,"It's like  on roadsThe Jeep Compass is an awesome car with awesome safety features, It comes with 4 wheel drive, 4 wheel disc brakes, wide sunroof and the car looks amazing",By sunny,"On: Jan 23, 2019  | 95 Views"
27,"Bad quality of battery and rear seat.I have bought jeep compass automatic in January 2018 my car is broke down exactly 375 days from delivery due to a battery problem. The company has given 3 years warranty on the vehicle, but battery (Exide) fitted in the car is very low quality and service center guys say only one year guarantee for Exide battery and you have to pay for it. The Exid...Read More",By umesh shetty,"On: Jan 22, 2019  | 80 Views"
28,Great experienceNice car to drive on highways and best handling than other cars at high speed.,By aditya karande,"On: Jan 17, 2019  | 43 Views"
29,Comfortable carIt's a very nice car and I satisfied with their safety and facilities. Very easy for long traveling and very safe for us.,By darshan ,"On: Jan 28, 2019  | 49 Views"
